,dft,c,bv,ang
luis_537.vasp,-4642.57568543,336,0.6389,32
luis_538.vasp,-4642.64470749,328,0.60339,30
luis_539.vasp,-4642.54817585,328,0.67349,36
luis_540.vasp,-4642.61744927,332,0.62199,30
luis_541.vasp,-4642.57998975,336,0.61992,34
luis_542.vasp,-4642.58674629,332,0.64286,28
luis_543.vasp,-4642.55500918,328,0.64043,36
luis_544.vasp,-4642.68614146,316,0.55822,28
luis_545.vasp,-4642.58384427,332,0.63461,34
luis_546.vasp,-4642.62399417,320,0.5742,32
luis_547.vasp,-4642.66683994,324,0.58809,28
luis_548.vasp,-4642.59966477,324,0.60699,33
luis_549.vasp,-4642.50819319,348,0.6893,34
luis_550.vasp,-4642.58573317,332,0.64292,34
luis_551.vasp,-4642.66745455,320,0.54228,28
luis_552.vasp,-4642.67199951,316,0.55961,30
luis_553.vasp,-4642.6081309,324,0.57528,34
luis_554.vasp,-4642.58756939,324,0.66209,34
luis_555.vasp,-4642.59384332,336,0.62915,32
luis_556.vasp,-4642.62581859,320,0.6062,32
luis_557.vasp,-4642.581884,336,0.65196,31
luis_558.vasp,-4642.61949132,320,0.57553,34
luis_559.vasp,-4642.61784775,328,0.60617,32
luis_560.vasp,-4642.66291601,320,0.5689,30
luis_561.vasp,-4642.57240031,344,0.64588,32
luis_562.vasp,-4642.62711812,324,0.61401,32
luis_563.vasp,-4642.58293788,332,0.64403,33
luis_564.vasp,-4642.5850564,336,0.61876,34
luis_565.vasp,-4642.66611415,320,0.56768,30
luis_566.vasp,-4642.57205405,328,0.64942,33
luis_567.vasp,-4642.68481774,312,0.52407,28
luis_568.vasp,-4642.55784029,332,0.63677,36
luis_569.vasp,-4642.65711589,316,0.57424,30
luis_570.vasp,-4642.58717488,328,0.63183,34
luis_571.vasp,-4642.62348975,312,0.57014,30
luis_572.vasp,-4642.56988169,344,0.63803,32
luis_573.vasp,-4642.65759547,320,0.57568,28
luis_574.vasp,-4642.62020421,328,0.62737,30
luis_575.vasp,-4642.64239015,316,0.58897,32
luis_576.vasp,-4642.60655314,328,0.6431,32
luis_577.vasp,-4642.61280175,324,0.62101,32
luis_578.vasp,-4642.53445993,348,0.71462,31
luis_579.vasp,-4642.56909371,328,0.65947,36
luis_580.vasp,-4642.61703581,320,0.60898,34
luis_581.vasp,-4642.60035,324,0.6295,32
luis_582.vasp,-4642.61592263,332,0.59616,32
luis_583.vasp,-4642.65022496,324,0.594,30
luis_584.vasp,-4642.46604796,348,0.75833,38
luis_585.vasp,-4642.63602193,324,0.59025,30
luis_586.vasp,-4642.62060648,324,0.62531,32
luis_587.vasp,-4642.62870192,324,0.59043,30
luis_588.vasp,-4642.62924352,324,0.60481,32
luis_589.vasp,-4642.67962026,312,0.53994,26
luis_590.vasp,-4642.62695048,320,0.63027,32
luis_591.vasp,-4642.6471889,324,0.57696,30
luis_592.vasp,-4642.6252322,320,0.59202,32
luis_593.vasp,-4642.63266044,324,0.62792,30
luis_594.vasp,-4642.66088062,320,0.56618,30
luis_595.vasp,-4642.57845727,336,0.63101,36
luis_596.vasp,-4642.63292214,328,0.59925,30
luis_597.vasp,-4642.56070127,340,0.6735,34
luis_598.vasp,-4642.54930581,332,0.64124,36
luis_599.vasp,-4642.58293791,332,0.64403,33
luis_600.vasp,-4642.60384654,328,0.59952,32
luis_601.vasp,-4642.63179484,324,0.61391,30
luis_602.vasp,-4642.62539364,320,0.59933,32
luis_603.vasp,-4642.59769704,320,0.63361,34
luis_604.vasp,-4642.64580537,328,0.60389,28
luis_605.vasp,-4642.64784762,320,0.61982,30
luis_606.vasp,-4642.63490402,320,0.60828,32
luis_607.vasp,-4642.59255977,320,0.62237,32
luis_608.vasp,-4642.55316774,344,0.65459,34
luis_609.vasp,-4642.59163244,336,0.65432,32
luis_610.vasp,-4642.64239007,316,0.58896,32
luis_611.vasp,-4642.6319353,320,0.57122,32
luis_612.vasp,-4642.65184373,324,0.58362,30
luis_613.vasp,-4642.59330853,324,0.63219,32
luis_614.vasp,-4642.63365195,320,0.60286,32
luis_615.vasp,-4642.59115581,328,0.63355,34
luis_616.vasp,-4642.62436469,328,0.62059,32
luis_617.vasp,-4642.58424781,328,0.59868,34
luis_618.vasp,-4642.64506894,320,0.61237,30
luis_619.vasp,-4642.64894072,320,0.57271,30
luis_620.vasp,-4642.63964151,324,0.57796,30
luis_622.vasp,-4642.6434404,328,0.57787,28
luis_623.vasp,-4642.6841726,320,0.57411,28
luis_624.vasp,-4642.62489886,320,0.59598,32
luis_625.vasp,-4642.48423545,356,0.7509,36
luis_626.vasp,-4642.65635129,324,0.60176,30
luis_627.vasp,-4642.59639922,336,0.63685,32
luis_628.vasp,-4642.62553283,332,0.617,30
luis_629.vasp,-4642.53109269,344,0.69026,34
luis_630.vasp,-4642.62747797,324,0.57519,32
luis_631.vasp,-4642.68394995,312,0.54576,30
luis_632.vasp,-4642.6056542,332,0.62713,32
luis_633.vasp,-4642.63769731,328,0.59444,32
luis_634.vasp,-4642.64683665,324,0.62307,30
luis_635.vasp,-4642.59639922,336,0.63686,32
luis_636.vasp,-4642.59609921,336,0.62904,32
luis_637.vasp,-4642.66488779,320,0.56779,28
luis_638.vasp,-4642.59666265,328,0.62165,32
luis_639.vasp,-4642.58950847,328,0.6486,34
luis_640.vasp,-4642.57312037,328,0.64733,34
luis_641.vasp,-4642.59063376,336,0.62209,32
luis_642.vasp,-4642.64239016,316,0.58897,32
luis_643.vasp,-4642.64097732,324,0.63275,29
luis_644.vasp,-4642.60024711,324,0.63701,34
luis_645.vasp,-4642.63983524,320,0.57503,32
luis_646.vasp,-4642.65098965,324,0.59208,30
luis_647.vasp,-4642.68143033,312,0.5276,28
luis_648.vasp,-4642.64802054,324,0.57883,30
luis_649.vasp,-4642.55316774,344,0.65459,34
luis_650.vasp,-4642.58002181,324,0.62331,34
luis_651.vasp,-4642.58775032,332,0.62564,32
luis_652.vasp,-4642.61703581,320,0.60898,34
luis_653.vasp,-4642.57044117,340,0.62825,34
luis_654.vasp,-4642.66197987,320,0.54286,28
luis_655.vasp,-4642.62462958,324,0.6207,32
luis_656.vasp,-4642.61353187,328,0.61771,30
luis_657.vasp,-4642.65863784,324,0.58749,28
luis_658.vasp,-4642.65190331,324,0.56905,28
luis_659.vasp,-4642.61344513,320,0.60702,32
luis_660.vasp,-4642.66793451,320,0.59781,28
luis_661.vasp,-4642.60971705,328,0.61765,32
luis_662.vasp,-4642.64752889,320,0.57554,28
luis_663.vasp,-4642.59961834,324,0.61388,34
luis_664.vasp,-4642.67325945,320,0.57846,28
luis_665.vasp,-4642.58555538,324,0.65635,34
luis_666.vasp,-4642.57970633,340,0.63003,30
luis_667.vasp,-4642.626962,320,0.5892,34
luis_668.vasp,-4642.63089712,332,0.60253,30
luis_669.vasp,-4642.5816516,324,0.65678,34
luis_670.vasp,-4642.61344513,320,0.60702,32
luis_671.vasp,-4642.66941327,320,0.57428,30
luis_672.vasp,-4642.65886167,320,0.55902,30
luis_673.vasp,-4642.55573326,344,0.64396,34
luis_674.vasp,-4642.65674769,316,0.5922,30
luis_675.vasp,-4642.62361087,328,0.61642,30
luis_676.vasp,-4642.55008157,340,0.65872,34
luis_677.vasp,-4642.59394573,324,0.59386,32
luis_678.vasp,-4642.59769704,320,0.63361,34
luis_679.vasp,-4642.61883612,324,0.57217,30
luis_680.vasp,-4642.70081204,316,0.53676,26
luis_681.vasp,-4642.60835634,332,0.60866,30
luis_682.vasp,-4642.65553877,316,0.57703,32
luis_683.vasp,-4642.53922797,340,0.64443,34
luis_684.vasp,-4642.61213096,332,0.59693,30
luis_685.vasp,-4642.66141657,316,0.55868,32
luis_686.vasp,-4642.65103437,324,0.5817,30
luis_687.vasp,-4642.67404668,320,0.58919,28
luis_688.vasp,-4642.57330901,336,0.64932,34
luis_689.vasp,-4642.62114942,328,0.61201,32
luis_690.vasp,-4642.58384422,332,0.63461,34
luis_691.vasp,-4642.65419187,320,0.57319,30
luis_692.vasp,-4642.62811659,324,0.60307,34
luis_693.vasp,-4642.58717491,328,0.63183,34
luis_694.vasp,-4642.62255374,328,0.60973,32
luis_695.vasp,-4642.63148076,324,0.5855,32
luis_696.vasp,-4642.6706912,324,0.5818,28
luis_697.vasp,-4642.54874689,328,0.67346,36
luis_698.vasp,-4642.60267727,336,0.61549,32
luis_699.vasp,-4642.6364658,324,0.582,32
luis_700.vasp,-4642.61635127,332,0.62225,30
luis_701.vasp,-4642.64098917,312,0.54417,34
luis_702.vasp,-4642.6221433,316,0.56444,36
luis_703.vasp,-4642.58298558,328,0.62262,36
luis_704.vasp,-4642.63217409,324,0.58234,32
luis_705.vasp,-4642.59013168,324,0.65277,34
luis_706.vasp,-4642.66200611,320,0.55574,28
luis_707.vasp,-4642.63807713,324,0.60439,30
luis_708.vasp,-4642.58786197,332,0.6334,33
luis_709.vasp,-4642.69489818,316,0.54546,26
luis_710.vasp,-4642.5659688,340,0.65365,34
luis_711.vasp,-4642.66074448,316,0.54615,32
luis_712.vasp,-4642.52261246,336,0.68489,36
luis_713.vasp,-4642.64218549,316,0.58269,32
luis_714.vasp,-4642.56379389,344,0.63964,32
luis_715.vasp,-4642.57970633,340,0.63003,30
luis_716.vasp,-4642.48423545,356,0.7509,36
luis_717.vasp,-4642.58749688,328,0.6319,35
luis_718.vasp,-4642.62958088,328,0.58613,30
luis_719.vasp,-4642.6249055,320,0.60239,34
luis_720.vasp,-4642.61359929,332,0.60074,30
luis_721.vasp,-4642.68457319,320,0.55489,26
luis_722.vasp,-4642.56986738,332,0.65464,34
luis_723.vasp,-4642.57223533,332,0.65151,34
luis_724.vasp,-4642.59701955,332,0.61825,32
luis_725.vasp,-4642.63476756,320,0.60274,32
luis_726.vasp,-4642.5489885,324,0.64208,38
luis_727.vasp,-4642.69386298,312,0.53239,28
luis_728.vasp,-4642.55316773,344,0.65459,34
luis_729.vasp,-4642.58385112,340,0.6389,32
luis_730.vasp,-4642.62519799,328,0.5897,30
luis_731.vasp,-4642.52155126,336,0.67746,34
luis_732.vasp,-4642.60263569,336,0.62108,30
luis_733.vasp,-4642.63499165,320,0.59669,32
luis_734.vasp,-4642.6370605,328,0.62329,30
luis_735.vasp,-4642.68394995,312,0.54576,30
luis_736.vasp,-4642.5610373,324,0.61682,38
luis_737.vasp,-4642.64097968,324,0.60218,30
luis_738.vasp,-4642.61425417,328,0.59283,32
luis_739.vasp,-4642.62477154,324,0.59345,30
luis_740.vasp,-4642.60341843,328,0.64525,32
luis_741.vasp,-4642.64590579,316,0.55152,32
luis_742.vasp,-4642.59858137,332,0.64939,32
luis_743.vasp,-4642.58646863,332,0.65715,30
luis_744.vasp,-4642.62811821,324,0.60312,34
luis_745.vasp,-4642.59994777,332,0.63291,32
luis_746.vasp,-4642.65829979,316,0.56918,28
luis_747.vasp,-4642.62223425,328,0.62123,30
luis_748.vasp,-4642.58879454,332,0.61166,34
luis_749.vasp,-4642.62612614,316,0.56478,34
luis_750.vasp,-4642.67271244,320,0.58033,28
luis_751.vasp,-4642.63725888,320,0.59299,32
luis_752.vasp,-4642.65005708,320,0.55826,30
luis_753.vasp,-4642.6036245,324,0.61857,34
luis_754.vasp,-4642.57489134,328,0.62185,35
luis_755.vasp,-4642.6230908,320,0.58866,32
luis_756.vasp,-4642.60565426,332,0.62713,32
luis_757.vasp,-4642.62140443,316,0.57077,32
luis_758.vasp,-4642.61041785,332,0.62576,32
luis_759.vasp,-4642.65830063,316,0.56928,28
luis_760.vasp,-4642.59546188,328,0.6372,33
luis_761.vasp,-4642.61794623,324,0.6016,32
luis_762.vasp,-4642.6621309,320,0.5813,28
luis_763.vasp,-4642.62524082,328,0.60242,30
luis_764.vasp,-4642.57935247,332,0.64102,34
luis_765.vasp,-4642.62091599,332,0.61178,30
luis_766.vasp,-4642.67587138,316,0.53076,30
luis_767.vasp,-4642.64421808,324,0.58095,30
luis_768.vasp,-4642.65534248,324,0.58172,28
luis_769.vasp,-4642.55100776,344,0.6469,36
luis_770.vasp,-4642.66549864,320,0.57224,30
luis_771.vasp,-4642.57744018,328,0.64707,34
luis_772.vasp,-4642.62050512,324,0.58079,34
luis_773.vasp,-4642.67727287,320,0.58314,28
luis_774.vasp,-4642.6039849,332,0.61195,34
luis_775.vasp,-4642.66745495,320,0.54225,28
luis_776.vasp,-4642.61504377,324,0.59299,32
luis_777.vasp,-4642.56179056,348,0.64727,32
luis_778.vasp,-4642.59991557,332,0.63331,32
luis_779.vasp,-4642.63343627,316,0.59173,32
luis_780.vasp,-4642.6340084,324,0.59621,32
luis_781.vasp,-4642.6151634,328,0.61694,32
luis_782.vasp,-4642.56347286,332,0.656,32
luis_783.vasp,-4642.67174956,324,0.59244,28
luis_784.vasp,-4642.67755463,316,0.5366,28
luis_785.vasp,-4642.61770035,328,0.60596,32
luis_786.vasp,-4642.64167453,324,0.59547,30
luis_787.vasp,-4642.6520972,324,0.56833,30
luis_788.vasp,-4642.59901299,324,0.62952,32
luis_789.vasp,-4642.64944394,324,0.59021,30
luis_790.vasp,-4642.59029117,324,0.61885,34
luis_791.vasp,-4642.56314047,320,0.61938,36
luis_792.vasp,-4642.63490572,328,0.59363,30
luis_793.vasp,-4642.66600601,304,0.47922,40
luis_794.vasp,-4642.67914995,316,0.53157,28
luis_795.vasp,-4642.61044013,324,0.61208,32
luis_796.vasp,-4642.54875731,344,0.68588,32
luis_797.vasp,-4642.55316774,344,0.65459,34
luis_798.vasp,-4642.61432567,324,0.61322,34
luis_799.vasp,-4642.6639576,316,0.57175,30
luis_800.vasp,-4642.60364133,324,0.60945,34
luis_801.vasp,-4642.65229756,324,0.58789,30
luis_802.vasp,-4642.57640475,328,0.65037,34
luis_803.vasp,-4642.52047647,352,0.69991,34
luis_804.vasp,-4642.64802042,324,0.57883,30
luis_805.vasp,-4642.5902061,336,0.62926,32
luis_806.vasp,-4642.58078271,336,0.66322,29
luis_807.vasp,-4642.62805725,328,0.64165,32
luis_808.vasp,-4642.59070148,332,0.63188,32
luis_809.vasp,-4642.59675149,340,0.62499,30
luis_810.vasp,-4642.58674623,332,0.64284,28
luis_811.vasp,-4642.67675751,312,0.53084,32
luis_812.vasp,-4642.66414133,324,0.57346,28
luis_813.vasp,-4642.66562736,324,0.59443,28
luis_814.vasp,-4642.62676261,328,0.61566,30
luis_815.vasp,-4642.66988214,320,0.5793,28
luis_816.vasp,-4642.63714784,320,0.58636,32
luis_817.vasp,-4642.61184343,324,0.59951,32
luis_818.vasp,-4642.61168693,320,0.59639,34
luis_819.vasp,-4642.64123452,324,0.61104,30
luis_820.vasp,-4642.64707144,320,0.57583,32
luis_821.vasp,-4642.67589262,320,0.54966,26
luis_822.vasp,-4642.65098967,324,0.59208,30
luis_823.vasp,-4642.6308971,332,0.60253,30
luis_824.vasp,-4642.60108058,332,0.62361,32
luis_825.vasp,-4642.58558441,336,0.64093,32
luis_826.vasp,-4642.59961834,324,0.61388,34
luis_827.vasp,-4642.58900892,336,0.64162,32
luis_828.vasp,-4642.60841283,324,0.61248,32
luis_829.vasp,-4642.56551324,340,0.6301,32
luis_830.vasp,-4642.60683447,332,0.62329,32
luis_831.vasp,-4642.65991975,316,0.5796,30
luis_832.vasp,-4642.59070147,332,0.63188,32
luis_833.vasp,-4642.6226837,320,0.61868,32
luis_834.vasp,-4642.63550988,324,0.60687,30
luis_835.vasp,-4642.61472524,320,0.62198,34
luis_836.vasp,-4642.59626226,324,0.58879,34
luis_837.vasp,-4642.62431325,332,0.61974,30
luis_838.vasp,-4642.64530761,324,0.62505,30
luis_839.vasp,-4642.64693548,320,0.56958,32
luis_840.vasp,-4642.62727242,332,0.61898,30
luis_841.vasp,-4642.62905068,316,0.56709,30
luis_842.vasp,-4642.66611412,320,0.56768,30
luis_843.vasp,-4642.62553278,332,0.617,30
luis_844.vasp,-4642.6136642,320,0.62591,32
luis_845.vasp,-4642.64705612,324,0.56878,28
luis_846.vasp,-4642.59063376,336,0.62209,32
luis_847.vasp,-4642.65882608,320,0.59013,28
luis_848.vasp,-4642.52926328,344,0.68157,36
luis_849.vasp,-4642.53582614,348,0.6655,34
luis_850.vasp,-4642.59444189,328,0.64486,32
luis_851.vasp,-4642.58221713,328,0.64838,34
luis_852.vasp,-4642.6252322,320,0.59202,32
luis_853.vasp,-4642.57533246,336,0.60067,34
luis_854.vasp,-4642.64370849,324,0.59311,30
luis_855.vasp,-4642.65240238,312,0.53213,34
luis_856.vasp,-4642.61915797,328,0.62006,32
luis_857.vasp,-4642.56746916,344,0.65765,32
luis_858.vasp,-4642.66598986,320,0.55377,30
luis_859.vasp,-4642.6596811,324,0.58531,28
luis_860.vasp,-4642.63448972,328,0.603,30
luis_861.vasp,-4642.62848419,332,0.61634,30
luis_862.vasp,-4642.54286498,340,0.68934,34
luis_863.vasp,-4642.55285867,320,0.65565,36
luis_864.vasp,-4642.62188294,324,0.59657,30
luis_865.vasp,-4642.63279241,324,0.62814,30
luis_866.vasp,-4642.61928479,324,0.62147,32
luis_867.vasp,-4642.62471603,328,0.62672,30
luis_868.vasp,-4642.59760213,332,0.63153,34
luis_869.vasp,-4642.62736923,324,0.57932,34
luis_870.vasp,-4642.57997317,324,0.62415,34
luis_871.vasp,-4642.55023531,336,0.64361,33
luis_872.vasp,-4642.54387294,320,0.61046,40
luis_873.vasp,-4642.60968768,324,0.61131,34
luis_874.vasp,-4642.61721521,320,0.63753,32
luis_875.vasp,-4642.62367562,328,0.59281,32
luis_876.vasp,-4642.62041327,328,0.58583,32
luis_877.vasp,-4642.61809443,320,0.61224,34
luis_878.vasp,-4642.64174341,320,0.63596,30
luis_879.vasp,-4642.52716934,352,0.68906,32
luis_880.vasp,-4642.63732222,328,0.58523,30
luis_881.vasp,-4642.62083387,324,0.61406,32
luis_882.vasp,-4642.63845663,328,0.59916,30
